value,ones,date
50.8,1.0,1970-01-01
51.54,1.0,1970-01-02
51.41,1.0,1970-01-03
50.68,1.0,1970-01-04
51.62,1.0,1970-01-05
52.029999999999994,1.0,1970-01-06
51.62,1.0,1970-01-07
51.32,1.0,1970-01-08
50.68,1.0,1970-01-09
50.35,1.0,1970-01-10
49.54,1.0,1970-01-11
50.24,1.0,1970-01-12
50.68,1.0,1970-01-13
50.58,1.0,1970-01-14
51.14,1.0,1970-01-15
51.01,1.0,1970-01-16
51.86,1.0,1970-01-17
51.92,1.0,1970-01-18
52.07,1.0,1970-01-19
52.83,1.0,1970-01-20
53.23,1.0,1970-01-21
52.26,1.0,1970-01-22
51.3,1.0,1970-01-23
50.47,1.0,1970-01-24
49.699999999999996,1.0,1970-01-25
49.98,1.0,1970-01-26
50.57,1.0,1970-01-27
49.58,1.0,1970-01-28
49.69,1.0,1970-01-29
49.83,1.0,1970-01-30
49.449999999999996,1.0,1970-01-31
48.629999999999995,1.0,1970-02-01
48.879999999999995,1.0,1970-02-02
48.58,1.0,1970-02-03
47.79,1.0,1970-02-04
47.87,1.0,1970-02-05
48.019999999999996,1.0,1970-02-06
47.11,1.0,1970-02-07
47.99,1.0,1970-02-08
47.57,1.0,1970-02-09
48.55,1.0,1970-02-10
48.879999999999995,1.0,1970-02-11
47.879999999999995,1.0,1970-02-12
46.88999999999999,1.0,1970-02-13
46.099999999999994,1.0,1970-02-14
47.06999999999999,1.0,1970-02-15
46.60999999999999,1.0,1970-02-16
46.57999999999999,1.0,1970-02-17
47.21999999999999,1.0,1970-02-18
47.76999999999999,1.0,1970-02-19
48.37999999999999,1.0,1970-02-20
49.04999999999999,1.0,1970-02-21
49.52999999999999,1.0,1970-02-22
49.79999999999999,1.0,1970-02-23
50.18999999999999,1.0,1970-02-24
50.89999999999999,1.0,1970-02-25
50.489999999999995,1.0,1970-02-26
49.779999999999994,1.0,1970-02-27
50.41,1.0,1970-02-28
51.23,1.0,1970-03-01
51.059999999999995,1.0,1970-03-02
51.739999999999995,1.0,1970-03-03
51.879999999999995,1.0,1970-03-04
51.81999999999999,1.0,1970-03-05
52.709999999999994,1.0,1970-03-06
52.13999999999999,1.0,1970-03-07
52.74999999999999,1.0,1970-03-08
53.56999999999999,1.0,1970-03-09
54.10999999999999,1.0,1970-03-10
53.18999999999999,1.0,1970-03-11
53.12999999999999,1.0,1970-03-12
52.15999999999999,1.0,1970-03-13
51.21999999999999,1.0,1970-03-14
50.779999999999994,1.0,1970-03-15
50.3,1.0,1970-03-16
49.82,1.0,1970-03-17
50.56,1.0,1970-03-18
50.940000000000005,1.0,1970-03-19
50.120000000000005,1.0,1970-03-20
51.050000000000004,1.0,1970-03-21
51.68000000000001,1.0,1970-03-22
51.63000000000001,1.0,1970-03-23
51.86000000000001,1.0,1970-03-24
51.690000000000005,1.0,1970-03-25
51.57000000000001,1.0,1970-03-26
51.120000000000005,1.0,1970-03-27
51.080000000000005,1.0,1970-03-28
50.14000000000001,1.0,1970-03-29
50.50000000000001,1.0,1970-03-30
51.09000000000001,1.0,1970-03-31
50.42000000000001,1.0,1970-04-01
49.51000000000001,1.0,1970-04-02
50.08000000000001,1.0,1970-04-03
50.52000000000001,1.0,1970-04-04
50.47000000000001,1.0,1970-04-05
49.94000000000001,1.0,1970-04-06
49.79000000000001,1.0,1970-04-07
50.070000000000014,1.0,1970-04-08
49.100000000000016,1.0,1970-04-09
48.41000000000002,1.0,1970-04-10
48.820000000000014,1.0,1970-04-11
47.84000000000002,1.0,1970-04-12
48.61000000000002,1.0,1970-04-13
48.24000000000002,1.0,1970-04-14
48.15000000000002,1.0,1970-04-15
48.61000000000002,1.0,1970-04-16
48.18000000000002,1.0,1970-04-17
47.51000000000002,1.0,1970-04-18
47.88000000000002,1.0,1970-04-19
47.26000000000002,1.0,1970-04-20
46.94000000000002,1.0,1970-04-21
47.40000000000002,1.0,1970-04-22
48.16000000000002,1.0,1970-04-23
48.320000000000014,1.0,1970-04-24
47.95000000000002,1.0,1970-04-25
48.01000000000002,1.0,1970-04-26
47.44000000000002,1.0,1970-04-27
46.990000000000016,1.0,1970-04-28
46.05000000000002,1.0,1970-04-29
45.27000000000002,1.0,1970-04-30
45.56000000000002,1.0,1970-05-01
45.530000000000015,1.0,1970-05-02
46.29000000000001,1.0,1970-05-03
47.01000000000001,1.0,1970-05-04
47.83000000000001,1.0,1970-05-05
48.250000000000014,1.0,1970-05-06
48.850000000000016,1.0,1970-05-07
49.280000000000015,1.0,1970-05-08
49.91000000000002,1.0,1970-05-09
49.08000000000002,1.0,1970-05-10
49.16000000000002,1.0,1970-05-11
48.350000000000016,1.0,1970-05-12
48.02000000000002,1.0,1970-05-13
48.23000000000002,1.0,1970-05-14
47.93000000000002,1.0,1970-05-15
48.62000000000002,1.0,1970-05-16
49.56000000000002,1.0,1970-05-17
48.670000000000016,1.0,1970-05-18
49.26000000000002,1.0,1970-05-19
48.26000000000002,1.0,1970-05-20
48.19000000000002,1.0,1970-05-21
47.43000000000002,1.0,1970-05-22
47.36000000000002,1.0,1970-05-23
48.03000000000002,1.0,1970-05-24
48.58000000000002,1.0,1970-05-25
49.16000000000002,1.0,1970-05-26
48.59000000000002,1.0,1970-05-27
48.04000000000002,1.0,1970-05-28
47.68000000000002,1.0,1970-05-29
47.68000000000002,1.0,1970-05-30
47.82000000000002,1.0,1970-05-31
48.14000000000002,1.0,1970-06-01
47.64000000000002,1.0,1970-06-02
46.72000000000002,1.0,1970-06-03
47.58000000000002,1.0,1970-06-04
48.48000000000002,1.0,1970-06-05
49.27000000000002,1.0,1970-06-06
48.65000000000002,1.0,1970-06-07
49.55000000000002,1.0,1970-06-08
49.460000000000015,1.0,1970-06-09
49.09000000000002,1.0,1970-06-10
48.350000000000016,1.0,1970-06-11
48.02000000000002,1.0,1970-06-12
48.750000000000014,1.0,1970-06-13
48.680000000000014,1.0,1970-06-14
49.460000000000015,1.0,1970-06-15
50.04000000000001,1.0,1970-06-16
49.37000000000001,1.0,1970-06-17
49.35000000000001,1.0,1970-06-18
50.25000000000001,1.0,1970-06-19
49.25000000000001,1.0,1970-06-20
49.040000000000006,1.0,1970-06-21
48.43000000000001,1.0,1970-06-22
47.61000000000001,1.0,1970-06-23
47.400000000000006,1.0,1970-06-24
46.790000000000006,1.0,1970-06-25
47.36000000000001,1.0,1970-06-26
47.660000000000004,1.0,1970-06-27
48.36000000000001,1.0,1970-06-28
48.63000000000001,1.0,1970-06-29
48.10000000000001,1.0,1970-06-30
47.41000000000001,1.0,1970-07-01
47.91000000000001,1.0,1970-07-02
47.10000000000001,1.0,1970-07-03
48.040000000000006,1.0,1970-07-04
48.60000000000001,1.0,1970-07-05
49.37000000000001,1.0,1970-07-06
50.29000000000001,1.0,1970-07-07
50.51000000000001,1.0,1970-07-08
51.320000000000014,1.0,1970-07-09
51.240000000000016,1.0,1970-07-10
50.56000000000002,1.0,1970-07-11
50.13000000000002,1.0,1970-07-12
51.01000000000002,1.0,1970-07-13
51.39000000000002,1.0,1970-07-14
50.980000000000025,1.0,1970-07-15
50.800000000000026,1.0,1970-07-16
50.18000000000003,1.0,1970-07-17
49.340000000000025,1.0,1970-07-18
49.660000000000025,1.0,1970-07-19
50.21000000000002,1.0,1970-07-20
50.840000000000025,1.0,1970-07-21
50.64000000000002,1.0,1970-07-22
50.630000000000024,1.0,1970-07-23
51.190000000000026,1.0,1970-07-24
51.690000000000026,1.0,1970-07-25
51.78000000000003,1.0,1970-07-26
50.96000000000003,1.0,1970-07-27
51.55000000000003,1.0,1970-07-28
50.66000000000003,1.0,1970-07-29
51.180000000000035,1.0,1970-07-30
51.27000000000004,1.0,1970-07-31
51.36000000000004,1.0,1970-08-01
51.96000000000004,1.0,1970-08-02
52.83000000000004,1.0,1970-08-03
52.280000000000044,1.0,1970-08-04
53.170000000000044,1.0,1970-08-05
53.76000000000005,1.0,1970-08-06
54.37000000000005,1.0,1970-08-07
53.600000000000044,1.0,1970-08-08
53.490000000000045,1.0,1970-08-09
53.530000000000044,1.0,1970-08-10
53.060000000000045,1.0,1970-08-11
53.700000000000045,1.0,1970-08-12
53.14000000000004,1.0,1970-08-13
53.950000000000045,1.0,1970-08-14
54.12000000000005,1.0,1970-08-15
54.82000000000005,1.0,1970-08-16
54.95000000000005,1.0,1970-08-17
54.00000000000005,1.0,1970-08-18
54.22000000000005,1.0,1970-08-19
53.85000000000005,1.0,1970-08-20
53.51000000000005,1.0,1970-08-21
53.39000000000005,1.0,1970-08-22
53.33000000000005,1.0,1970-08-23
52.46000000000005,1.0,1970-08-24
51.47000000000005,1.0,1970-08-25
52.36000000000005,1.0,1970-08-26
52.73000000000005,1.0,1970-08-27
52.64000000000004,1.0,1970-08-28
52.090000000000046,1.0,1970-08-29
51.170000000000044,1.0,1970-08-30
51.94000000000005,1.0,1970-08-31
52.700000000000045,1.0,1970-09-01
52.21000000000004,1.0,1970-09-02
52.19000000000004,1.0,1970-09-03
52.59000000000004,1.0,1970-09-04
53.11000000000004,1.0,1970-09-05
53.280000000000044,1.0,1970-09-06
52.32000000000004,1.0,1970-09-07
51.55000000000004,1.0,1970-09-08
51.85000000000004,1.0,1970-09-09
52.66000000000004,1.0,1970-09-10
53.18000000000004,1.0,1970-09-11
53.19000000000004,1.0,1970-09-12
53.61000000000004,1.0,1970-09-13
53.030000000000044,1.0,1970-09-14
52.170000000000044,1.0,1970-09-15
53.01000000000005,1.0,1970-09-16
53.490000000000045,1.0,1970-09-17
53.560000000000045,1.0,1970-09-18
52.69000000000005,1.0,1970-09-19
53.36000000000005,1.0,1970-09-20
53.10000000000005,1.0,1970-09-21
52.10000000000005,1.0,1970-09-22
52.92000000000005,1.0,1970-09-23
53.06000000000005,1.0,1970-09-24
53.870000000000054,1.0,1970-09-25
53.21000000000006,1.0,1970-09-26
54.14000000000006,1.0,1970-09-27
53.95000000000006,1.0,1970-09-28
53.110000000000056,1.0,1970-09-29
53.510000000000055,1.0,1970-09-30
52.730000000000054,1.0,1970-10-01
52.34000000000005,1.0,1970-10-02
51.75000000000005,1.0,1970-10-03
51.77000000000005,1.0,1970-10-04
51.370000000000054,1.0,1970-10-05
51.25000000000006,1.0,1970-10-06
51.860000000000056,1.0,1970-10-07
52.57000000000006,1.0,1970-10-08
51.91000000000006,1.0,1970-10-09
51.13000000000006,1.0,1970-10-10
51.08000000000006,1.0,1970-10-11
51.670000000000066,1.0,1970-10-12
50.94000000000007,1.0,1970-10-13
51.09000000000007,1.0,1970-10-14
51.84000000000007,1.0,1970-10-15
50.990000000000066,1.0,1970-10-16
50.01000000000007,1.0,1970-10-17
50.12000000000007,1.0,1970-10-18
50.59000000000007,1.0,1970-10-19
51.38000000000007,1.0,1970-10-20
51.13000000000007,1.0,1970-10-21
50.84000000000007,1.0,1970-10-22
50.90000000000007,1.0,1970-10-23
51.24000000000007,1.0,1970-10-24
51.90000000000007,1.0,1970-10-25
51.63000000000007,1.0,1970-10-26
51.600000000000065,1.0,1970-10-27
51.66000000000007,1.0,1970-10-28
51.23000000000007,1.0,1970-10-29
51.09000000000007,1.0,1970-10-30
51.40000000000007,1.0,1970-10-31
51.58000000000007,1.0,1970-11-01
50.61000000000007,1.0,1970-11-02
50.09000000000007,1.0,1970-11-03
49.58000000000007,1.0,1970-11-04
49.25000000000007,1.0,1970-11-05
48.90000000000007,1.0,1970-11-06
48.98000000000007,1.0,1970-11-07
49.740000000000066,1.0,1970-11-08
50.73000000000007,1.0,1970-11-09
50.43000000000007,1.0,1970-11-10
50.85000000000007,1.0,1970-11-11
50.870000000000076,1.0,1970-11-12
51.690000000000076,1.0,1970-11-13
52.06000000000007,1.0,1970-11-14
52.97000000000007,1.0,1970-11-15
52.37000000000007,1.0,1970-11-16
52.21000000000007,1.0,1970-11-17
51.910000000000075,1.0,1970-11-18
50.950000000000074,1.0,1970-11-19
50.510000000000076,1.0,1970-11-20
50.00000000000008,1.0,1970-11-21
49.58000000000008,1.0,1970-11-22
50.33000000000008,1.0,1970-11-23
49.980000000000075,1.0,1970-11-24
50.11000000000008,1.0,1970-11-25
49.18000000000008,1.0,1970-11-26
49.22000000000008,1.0,1970-11-27
49.08000000000008,1.0,1970-11-28
49.22000000000008,1.0,1970-11-29
49.60000000000008,1.0,1970-11-30
49.760000000000076,1.0,1970-12-01
50.75000000000008,1.0,1970-12-02
51.58000000000008,1.0,1970-12-03
51.56000000000007,1.0,1970-12-04
52.510000000000076,1.0,1970-12-05
51.760000000000076,1.0,1970-12-06
51.25000000000008,1.0,1970-12-07
51.730000000000075,1.0,1970-12-08
51.880000000000074,1.0,1970-12-09
51.590000000000074,1.0,1970-12-10
51.39000000000007,1.0,1970-12-11
51.76000000000007,1.0,1970-12-12
51.51000000000007,1.0,1970-12-13
51.170000000000066,1.0,1970-12-14
51.750000000000064,1.0,1970-12-15
51.36000000000006,1.0,1970-12-16
50.58000000000006,1.0,1970-12-17
51.38000000000006,1.0,1970-12-18
50.89000000000006,1.0,1970-12-19
50.300000000000054,1.0,1970-12-20
50.43000000000006,1.0,1970-12-21
50.540000000000056,1.0,1970-12-22
51.38000000000006,1.0,1970-12-23
50.59000000000006,1.0,1970-12-24
